id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
6644;30548;35;07/10/2021 13:08;07/10/2021 13:08;1;07/10/2021 13:08;NULL;07/10/2021 13:08;07/10/2021 13:08
6645;28945;2557;07/10/2021 13:13;07/10/2021 13:13;1;07/10/2021 13:13;NULL;07/10/2021 13:13;07/10/2021 13:13
6646;4926;361;07/10/2021 14:02;07/10/2021 14:02;1;07/10/2021 14:02;NULL;07/10/2021 14:02;07/10/2021 14:02
6647;4926;18;07/10/2021 14:15;07/10/2021 14:15;1;07/10/2021 14:15;NULL;07/10/2021 14:15;07/10/2021 14:15
6648;27129;3408;07/10/2021 15:08;07/10/2021 15:08;2;07/10/2021 15:08;NULL;07/10/2021 15:08;07/10/2021 15:08
6649;30562;384;07/10/2021 15:53;07/10/2021 15:53;1;07/10/2021 15:53;NULL;07/10/2021 15:53;07/10/2021 15:53
6650;9207;3;07/10/2021 15:55;07/10/2021 15:55;2;07/10/2021 15:55;NULL;07/10/2021 15:55;07/10/2021 15:55
6651;13162;1036;07/10/2021 16:04;07/10/2021 16:04;1;07/10/2021 16:04;NULL;07/10/2021 16:04;07/10/2021 16:04
6652;24253;1036;07/10/2021 16:04;07/10/2021 16:04;1;07/10/2021 16:04;NULL;07/10/2021 16:04;07/10/2021 16:04
6653;2347;1036;07/10/2021 16:11;07/10/2021 16:11;1;07/10/2021 16:11;NULL;07/10/2021 16:11;07/10/2021 16:11
6654;29663;200;07/10/2021 16:17;07/10/2021 16:17;1;07/10/2021 16:17;NULL;07/10/2021 16:17;07/10/2021 16:17
6655;30577;200;07/10/2021 16:18;07/10/2021 16:19;2;07/10/2021 16:18;NULL;07/10/2021 16:18;07/10/2021 16:19
6656;2696;1816;07/10/2021 16:24;07/10/2021 16:24;2;07/10/2021 16:24;NULL;07/10/2021 16:24;07/10/2021 16:24
6657;6351;380;07/10/2021 16:41;07/10/2021 16:44;4;07/10/2021 16:41;NULL;07/10/2021 16:41;07/10/2021 16:44
6658;5929;380;07/10/2021 16:42;07/10/2021 16:44;2;07/10/2021 16:42;NULL;07/10/2021 16:42;07/10/2021 16:44
6659;20106;380;07/10/2021 16:42;07/10/2021 16:44;3;07/10/2021 16:42;NULL;07/10/2021 16:42;07/10/2021 16:44
6660;13496;1469;07/10/2021 16:46;07/10/2021 16:46;1;07/10/2021 16:46;NULL;07/10/2021 16:46;07/10/2021 16:46
6661;26800;1799;07/10/2021 16:47;07/10/2021 16:47;1;07/10/2021 16:47;NULL;07/10/2021 16:47;07/10/2021 16:47
6662;16486;1036;07/10/2021 16:57;07/10/2021 16:57;2;07/10/2021 16:57;NULL;07/10/2021 16:57;07/10/2021 16:57
6663;930;120;07/10/2021 17:03;07/10/2021 17:03;2;07/10/2021 17:03;NULL;07/10/2021 17:03;07/10/2021 17:03
6664;29668;402;07/10/2021 17:08;07/10/2021 17:08;1;07/10/2021 17:08;NULL;07/10/2021 17:08;07/10/2021 17:08
6665;28368;259;07/10/2021 17:08;07/10/2021 17:08;1;07/10/2021 17:08;NULL;07/10/2021 17:08;07/10/2021 17:08
6666;14476;380;07/10/2021 17:19;07/10/2021 17:19;1;07/10/2021 17:19;NULL;07/10/2021 17:19;07/10/2021 17:19
6667;28411;317;07/10/2021 17:26;07/10/2021 19:31;3;07/10/2021 17:26;NULL;07/10/2021 17:26;07/10/2021 19:31
6668;5162;380;07/10/2021 17:29;07/10/2021 17:29;1;07/10/2021 17:29;NULL;07/10/2021 17:29;07/10/2021 17:29
6669;21043;6487;07/10/2021 17:33;07/10/2021 17:33;3;07/10/2021 17:33;NULL;07/10/2021 17:33;07/10/2021 17:33
6670;1913;54;07/10/2021 17:42;07/10/2021 17:42;1;07/10/2021 17:42;NULL;07/10/2021 17:42;07/10/2021 17:42
6671;30584;380;07/10/2021 17:51;07/10/2021 17:51;1;07/10/2021 17:51;NULL;07/10/2021 17:51;07/10/2021 17:51
6672;184;41;07/10/2021 18:00;07/10/2021 18:00;1;07/10/2021 18:00;NULL;07/10/2021 18:00;07/10/2021 18:00
6673;9596;93;07/10/2021 18:04;07/10/2021 18:04;1;07/10/2021 18:06;NULL;07/10/2021 18:04;07/10/2021 18:06
6674;16432;27;07/10/2021 18:07;07/10/2021 18:07;5;07/10/2021 18:07;NULL;07/10/2021 18:07;07/10/2021 18:07
6675;2940;380;07/10/2021 18:07;07/10/2021 18:07;1;07/10/2021 18:07;NULL;07/10/2021 18:07;07/10/2021 18:07
